"Name","Team","Age","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","WAR","K%","BABIP","BB%","playerid"
"Fernando Tatis Jr.","SDP","21","257","164","95.9","113.4","8.7","32","19.5%","102","62.2%",".277",".297",".571",".614",".392",".419","2.9","23.7%",".306","10.5%","19709"
"Manny Machado","SDP","27","254","191","90.2","115.7","15.6","21","11.0%","83","43.5%",".304",".303",".580",".542",".391",".384","2.6","14.6%",".297","10.2%","11493"
"Mookie Betts","LAD","27","246","182","90.7","108.5","18.5","14","7.7%","79","43.4%",".292",".281",".562",".481",".390",".359","2.9","15.4%",".289","9.8%","13611"
"Paul Goldschmidt","STL","32","231","150","89.2","111.3","11.6","16","10.7%","61","40.7%",".304",".285",".466",".510",".387",".394","2.2","18.6%",".364","16.0%","9218"
"Brandon Nimmo","NYM","27","225","143","87.2","106.9","7.6","11","7.7%","46","32.2%",".280",".247",".484",".419",".387",".355","1.6","19.1%",".326","14.7%","12927"
"Brandon Lowe","TBR","25","224","137","89.8","111.4","18.1","24","17.5%","59","43.1%",".269",".261",".554",".550",".385",".382","2.4","25.9%",".309","11.2%","18882"
"Teoscar Hernandez","TOR","27","207","129","93.3","115.9","15.3","23","17.8%","68","52.7%",".289",".294",".579",".611",".384",".396","1.5","30.4%",".348","6.8%","13066"
"George Springer","HOU","30","222","155","88.7","115.0","18.4","19","12.3%","65","41.9%",".265",".291",".540",".563",".379",".397","1.9","17.1%",".259","10.8%","12856"
"Tim Anderson","CHW","27","221","159","87.2","108.8","6.7","16","10.1%","57","35.8%",".322",".291",".529",".506",".376",".357","2.1","22.6%",".383","4.5%","15172"
"Jeimer Candelario","DET","26","206","136","90.2","110.8","13.3","14","10.3%","64","47.1%",".297",".276",".503",".469",".373",".353","1.6","23.8%",".372","9.7%","13621"
"Eloy Jimenez","CHW","23","226","158","92.4","113.6","5.7","26","16.5%","88","55.7%",".296",".282",".559",".544",".373",".368","1.6","24.8%",".340","5.3%","17484"
"Lourdes Gurriel Jr.","TOR","26","224","162","90.8","109.5","10.5","19","11.7%","80","49.4%",".308",".280",".534",".484",".372",".345","1.1","21.4%",".351","6.3%","19238"
"Trevor Story","COL","27","259","172","89.9","109.0","20.9","15","8.7%","71","41.3%",".289",".252",".519",".455",".370",".333","2.5","24.3%",".354","9.3%","12564"
"Ian Happ","CHC","25","231","136","91.1","109.1","9.0","14","10.3%","65","47.8%",".258",".258",".505",".464",".369",".358","1.9","27.3%",".317","13.0%","17919"
"Xander Bogaerts","BOS","27","225","163","89.0","112.5","8.7","14","8.6%","60","36.8%",".300",".257",".502",".471",".368",".339","1.9","18.2%",".329","9.3%","12161"
"A.J. Pollock","LAD","32","210","153","89.6","110.0","13.0","16","10.5%","66","43.1%",".276",".271",".566",".499",".364",".346","0.9","21.4%",".277","5.7%","9256"
"Chris Taylor","LAD","29","214","131","88.0","109.6","9.1","15","11.5%","59","45.0%",".270",".271",".476",".489",".364",".370","1.4","25.7%",".344","12.1%","13757"
"Kole Calhoun","ARI","32","228","144","89.4","109.0","17.1","17","11.8%","55","38.2%",".226",".259",".526",".509",".362",".373","1.8","21.9%",".211","12.3%","11200"
"Michael Brantley","HOU","33","187","142","88.7","105.3","10.2","7","4.9%","52","36.6%",".300",".260",".476",".413",".362",".325","1.3","15.0%",".336","9.1%","4106"
