"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"zone11",0.00616977337332155,0.378340835265117,0.016307447672145,0.986989115949096,"Barrel","R","FF"
"zone12",0.240412995250995,0.337710297539818,0.711891218604753,0.476532140354016,"Barrel","R","FF"
"zone13",0.403238119410118,0.54919228314765,0.734238502221831,0.462803391410794,"Barrel","R","FF"
"zone14",-13.5699924633543,160.801612709475,-0.0843896540258683,0.932746632835261,"Barrel","R","FF"
"dist_z",0.337862811621094,0.205238986959865,1.64619216176099,0.0997242025151351,"Barrel","R","FF"
"I(dist_x^2)",-1.02401852999833,0.135209807330712,-7.57355217209694,0.0000000000000363154767894009,"Barrel","R","FF"
"I(dist_z^2)",-1.03899219657125,0.164294542878255,-6.32396048200558,0.000000000254942950232088,"Barrel","R","FF"
"release_spin_rate",-0.000495628098165727,0.000270665537612181,-1.83114593212779,0.0670787642964392,"Barrel","R","FF"
"pred",96.2176810868326,6.16542213890414,15.60601673642,0.0000000000000000000000000000000000000000000000000000006624589397679,"Barrel","R","FF"
"(Intercept)",-5.16747753150521,0.275443619848588,-18.7605635387226,0.00000000000000000000000000000000000000000000000000000000000000000000000000000158707934228116,"STRIKE","R","FF"
"pfx_z",0.0259886697867627,0.00481496075225768,5.39748320369527,0.0000000675821982488336,"STRIKE","R","FF"
"zone1",-0.721201688179028,0.106881257313716,-6.74769090769741,0.0000000000150216522362508,"STRIKE","R","FF"
"zone2",-0.692000313573638,0.0815558819233988,-8.4849835138022,0.0000000000000000215749318053062,"STRIKE","R","FF"
"zone3",-0.517692069589429,0.0968715131294524,-5.34411049095125,0.0000000908621337753556,"STRIKE","R","FF"
"zone4",-0.65500120249031,0.0920608383139125,-7.11487332167086,0.00000000000112015671934618,"STRIKE","R","FF"
"zone6",-0.109661727208249,0.079497436611992,-1.37943727347438,0.167759973681594,"STRIKE","R","FF"
"zone7",0.343977491432566,0.121371011047082,2.83409925043083,0.00459550568314815,"STRIKE","R","FF"
"zone8",0.219878450629892,0.0898668434441645,2.44671385132722,0.0144165244741877,"STRIKE","R","FF"
"zone9",0.558144258375109,0.104833205716327,5.32411705395539,0.000000101444569301421,"STRIKE","R","FF"
"zone11",-0.416732922770986,0.122458840609497,-3.40304481650194,0.000666393487542442,"STRIKE","R","FF"
"zone12",-0.863414479533241,0.112037450147511,-7.70648098824501,0.0000000000000129334495843478,"STRIKE","R","FF"
"zone13",-0.602688669140122,0.15915058660531,-3.78690824831689,0.000152533391419005,"STRIKE","R","FF"
"zone14",-0.823620147611078,0.120902381413627,-6.8122739848551,0.00000000000960679164564877,"STRIKE","R","FF"
"dist_x",-0.251604641079701,0.0416585546765881,-6.03968723910388,0.00000000154413236484496,"STRIKE","R","FF"
"dist_z",0.23800343572407,0.0448778575984787,5.30336001895371,0.00000011369038986267,"STRIKE","R","FF"
"dist_prop",3.31973962486125,0.184671851546019,17.9764246530771,0.00000000000000000000000000000000000000000000000000000000000000000000000298106790335681,"STRIKE","R","FF"
"I(dist_x^2)",-1.85264115522001,0.0763662219712214,-24.2599556112411,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000519153070159658,"STRIKE","R","FF"
"I(dist_z^2)",-1.87265063307837,0.0781119703286846,-23.9739264698933,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000520302942334858,"STRIKE","R","FF"
"release_spin_rate",0.00018289037879784,0.0000864537308247954,2.11547121278642,0.0343898059393185,"STRIKE","R","FF"
"pred",9.27638591489884,0.575005070374744,16.1327028105217,0.000000000000000000000000000000000000000000000000000000000150296464513262,"STRIKE","R","FF"
"(Intercept)",-16.1396976866674,0.828836654979148,-19.4727122524202,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000018709775588431,"whiff","L","FF"
"pitch_speed",0.0962788136300697,0.00893581905969088,10.7744811065367,0.00000000000000000000000000454336600069584,"whiff","L","FF"
"pfx_x",-0.0252116109242978,0.00553651143448751,-4.55369978417313,0.00000527105651057129,"whiff","L","FF"
"pfx_z",0.0574998806480975,0.00743400232296069,7.73471383920653,0.0000000000000103635946952247,"whiff","L","FF"
"zone1",0.0404147528246237,0.151447631828412,0.266856287792027,0.789579813746765,"whiff","L","FF"
"zone2",-0.174563534886061,0.125990771723362,-1.38552635640133,0.165891579090909,"whiff","L","FF"
"zone3",0.0326384112374756,0.160135490707186,0.20381747414854,0.838496137070274,"whiff","L","FF"
"zone4",0.0902496533965285,0.129053308674063,0.699320725084724,0.484351617812689,"whiff","L","FF"
"zone6",-0.316853602315789,0.152467258550781,-2.07817471978915,0.0376932696185064,"whiff","L","FF"
"zone7",-0.183366825540763,0.22533346811507,-0.813757614768188,0.415783820877841,"whiff","L","FF"
"zone8",0.0635466493791377,0.181206813291489,0.350685761891949,0.725824108386091,"whiff","L","FF"
"zone9",0.0122380560540558,0.246426696741779,0.0496620545414346,0.960391695215921,"whiff","L","FF"
"zone11",-0.00394515607320176,0.17295631977684,-0.0228101296228554,0.981801727857301,"whiff","L","FF"
"zone12",0.284368397128464,0.179168507595811,1.58715614113377,0.112477285356547,"whiff","L","FF"
