"","x","z","response","hand","pitch","pred"
"155",-2,-1.9,"strike","left","fastball",-6.14040423260453
"156",-2,-1.9,"strike","left","slider",-0.271958499499382
"157",-2,-1.9,"strike","right","changeup",-1.46930667484747
"158",-2,-1.9,"strike","right","curveball",-0.919688063841622
"159",-2,-1.9,"strike","right","fastball",-4.96192108399048
"160",-2,-1.9,"strike","right","slider",-0.168721697124313
"161",-2,-1.9,"whiff","left","changeup",-1.2211231592343
"162",-2,-1.9,"whiff","left","curveball",0.297791178012205
"163",-2,-1.9,"whiff","left","fastball",-8.04265968703763
"164",-2,-1.9,"whiff","left","slider",1.87728038066831
"165",-2,-1.9,"whiff","right","changeup",-1.76324092141581
"166",-2,-1.9,"whiff","right","curveball",0.704426565867105
"167",-2,-1.9,"whiff","right","fastball",-6.4436729965106
"168",-2,-1.9,"whiff","right","slider",1.33842582356468
"169",-2,-1.8,"barrel","left","changeup",-11.3000346948338
"170",-2,-1.8,"barrel","left","curveball",-10.3106447391475
"171",-2,-1.8,"barrel","left","fastball",-6.89691376263993
"172",-2,-1.8,"barrel","left","slider",-8.61036948860132
"173",-2,-1.8,"barrel","right","changeup",-12.610344493281
"174",-2,-1.8,"barrel","right","curveball",-16.197587575085
"175",-2,-1.8,"barrel","right","fastball",-8.07056189780214
"176",-2,-1.8,"barrel","right","slider",-12.3019024627201
"177",-2,-1.8,"strike","left","changeup",-1.59929525197591
"178",-2,-1.8,"strike","left","curveball",-1.60611977071988
"179",-2,-1.8,"strike","left","fastball",-5.65478772695151
"180",-2,-1.8,"strike","left","slider",-0.141082875032408
"181",-2,-1.8,"strike","right","changeup",-1.21979991564707
"182",-2,-1.8,"strike","right","curveball",-0.773804237241879
"183",-2,-1.8,"strike","right","fastball",-4.47064380478653
"184",-2,-1.8,"strike","right","slider",-0.0545420101838072
"185",-2,-1.8,"whiff","left","changeup",-1.06478009860577
"186",-2,-1.8,"whiff","left","curveball",0.482602218763923
"187",-2,-1.8,"whiff","left","fastball",-7.6112007407335
"188",-2,-1.8,"whiff","left","slider",1.99489583699057
"189",-2,-1.8,"whiff","right","changeup",-1.52174575647328
"190",-2,-1.8,"whiff","right","curveball",0.807303246232664
"191",-2,-1.8,"whiff","right","fastball",-6.0533249137845
"192",-2,-1.8,"whiff","right","slider",1.39687833028257
"193",-2,-1.7,"barrel","left","changeup",-10.7746761140774
"194",-2,-1.7,"barrel","left","curveball",-9.80091038073314
"195",-2,-1.7,"barrel","left","fastball",-6.50763603727316
"196",-2,-1.7,"barrel","left","slider",-8.05256202662704
"197",-2,-1.7,"barrel","right","changeup",-12.1691533697115
"198",-2,-1.7,"barrel","right","curveball",-15.2982464627808
"199",-2,-1.7,"barrel","right","fastball",-7.67312834784009
"200",-2,-1.7,"barrel","right","slider",-11.6063422569718
"201",-2,-1.7,"strike","left","changeup",-1.40475327481133
"202",-2,-1.7,"strike","left","curveball",-1.44717024909822
"203",-2,-1.7,"strike","left","fastball",-5.20029727188317
"204",-2,-1.7,"strike","left","slider",-0.0206110003739051
"205",-2,-1.7,"strike","right","changeup",-0.98858256427726
"206",-2,-1.7,"strike","right","curveball",-0.638620902392713
"207",-2,-1.7,"strike","right","fastball",-4.01000020984748
"208",-2,-1.7,"strike","right","slider",0.0496050198664335
"209",-2,-1.7,"whiff","left","changeup",-0.925540183328174
"210",-2,-1.7,"whiff","left","curveball",0.646238912576528
"211",-2,-1.7,"whiff","left","fastball",-7.1989302205718
"212",-2,-1.7,"whiff","left","slider",2.0998385237077
"213",-2,-1.7,"whiff","right","changeup",-1.30475011789342
"214",-2,-1.7,"whiff","right","curveball",0.899071139850936
"215",-2,-1.7,"whiff","right","fastball",-5.67935637582494
"216",-2,-1.7,"whiff","right","slider",1.44690133434701
"217",-2,-1.6,"barrel","left","changeup",-10.27933802365
"218",-2,-1.6,"barrel","left","curveball",-9.32653939547902
"219",-2,-1.6,"barrel","left","fastball",-6.14060275335592
"220",-2,-1.6,"barrel","left","slider",-7.53187590978783
"221",-2,-1.6,"barrel","right","changeup",-11.7531731674888
"222",-2,-1.6,"barrel","right","curveball",-14.4553271662367
"223",-2,-1.6,"barrel","right","fastball",-7.29647464180947
"224",-2,-1.6,"barrel","right","slider",-10.9521388803193
"225",-2,-1.6,"strike","left","changeup",-1.22621365831754
"226",-2,-1.6,"strike","left","curveball",-1.30106183264844
"227",-2,-1.6,"strike","left","fastball",-4.77633024461123
"228",-2,-1.6,"strike","left","slider",0.0897835335994861
"229",-2,-1.6,"strike","right","changeup",-0.775183784556694
"230",-2,-1.6,"strike","right","curveball",-0.513862092263111
"231",-2,-1.6,"strike","right","fastball",-3.57946435499366
"232",-2,-1.6,"strike","right","slider",0.143973219094891
"233",-2,-1.6,"whiff","left","changeup",-0.803227101259506
"234",-2,-1.6,"whiff","left","curveball",0.788985526472767
"235",-2,-1.6,"whiff","left","fastball",-6.80564466594815
"236",-2,-1.6,"whiff","left","slider",2.19254541242007
"237",-2,-1.6,"whiff","right","changeup",-1.11201919996403
"238",-2,-1.6,"whiff","right","curveball",0.980038313129041
"239",-2,-1.6,"whiff","right","fastball",-5.32163503409112
"240",-2,-1.6,"whiff","right","slider",1.48873528397311
"241",-2,-1.5,"barrel","left","changeup",-9.81402042355147
"242",-2,-1.5,"barrel","left","curveball",-8.88753178338516
"243",-2,-1.5,"barrel","left","fastball",-5.79581391088821
"244",-2,-1.5,"barrel","left","slider",-7.0483111380837
"245",-2,-1.5,"barrel","right","changeup",-11.362403886613
"246",-2,-1.5,"barrel","right","curveball",-13.6682812676634
"247",-2,-1.5,"barrel","right","fastball",-6.94060077971027
"248",-2,-1.5,"barrel","right","slider",-10.339116768736
"249",-2,-1.5,"strike","left","changeup",-1.06328130774246
"250",-2,-1.5,"strike","left","curveball",-1.16751877919857
"251",-2,-1.5,"strike","left","fastball",-4.3822439866856
"252",-2,-1.5,"strike","left","slider",0.190448821227041
"253",-2,-1.5,"strike","right","changeup",-0.579101459976613
"254",-2,-1.5,"strike","right","curveball",-0.399233505761437
"255",-2,-1.5,"strike","right","fastball",-3.17847535457995
"256",-2,-1.5,"strike","right","slider",0.228833276680507
"257",-2,-1.5,"whiff","left","changeup",-0.697652826838645
"258",-2,-1.5,"whiff","left","curveball",0.911145212951706
"259",-2,-1.5,"whiff","left","fastball",-6.43112709921214
"260",-2,-1.5,"whiff","left","slider",2.27348250523859
"261",-2,-1.5,"whiff","right","changeup",-0.943302597492991
"262",-2,-1.5,"whiff","right","curveball",1.05053329907897
"263",-2,-1.5,"whiff","right","fastball",-4.98001974737537
"264",-2,-1.5,"whiff","right","slider",1.52263660171946
"265",-2,-1.4,"barrel","left","changeup",-9.37872331378189
"266",-2,-1.4,"barrel","left","curveball",-8.48388754445156
"267",-2,-1.4,"barrel","left","fastball",-5.47326950987002
"268",-2,-1.4,"barrel","left","slider",-6.60186771151465
"269",-2,-1.4,"barrel","right","changeup",-10.996845527084
"270",-2,-1.4,"barrel","right","curveball",-12.9365269041035
"271",-2,-1.4,"barrel","right","fastball",-6.6055067615425
"272",-2,-1.4,"barrel","right","slider",-9.76708965145236
"273",-2,-1.4,"strike","left","changeup",-0.915537033546078
"274",-2,-1.4,"strike","left","curveball",-1.04624853048598
"275",-2,-1.4,"strike","left","fastball",-4.01735664723715
"276",-2,-1.4,"strike","left","slider",0.281754185323609
"277",-2,-1.4,"strike","right","changeup",-0.399802852536208
"278",-2,-1.4,"strike","right","curveball",-0.294422893892776
"279",-2,-1.4,"strike","right","fastball",-2.80643811744318
"280",-2,-1.4,"strike","right","slider",0.304472389736925
"281",-2,-1.4,"whiff","left","changeup",-0.608617867796797
"282",-2,-1.4,"whiff","left","curveball",1.0130396122173
"283",-2,-1.4,"whiff","left","fastball",-6.07514731036735
"284",-2,-1.4,"whiff","left","slider",2.34314422333569
"285",-2,-1.4,"whiff","right","changeup",-0.79833463436907
"286",-2,-1.4,"whiff","right","curveball",1.110904666244
"287",-2,-1.4,"whiff","right","fastball",-4.65436076699688
"288",-2,-1.4,"whiff","right","slider",1.5488773480319
"289",-2,-1.3,"barrel","left","changeup",-8.97344669434124
"290",-2,-1.3,"barrel","left","curveball",-8.11560667867822
"291",-2,-1.3,"barrel","left","fastball",-5.17296955030137
"292",-2,-1.3,"barrel","left","slider",-6.19254563008068
"293",-2,-1.3,"barrel","right","changeup",-10.6564980889018
"294",-2,-1.3,"barrel","right","curveball",-12.259450514068
"295",-2,-1.3,"barrel","right","fastball",-6.29119258730615
"296",-2,-1.3,"barrel","right","slider",-9.23586111010345
"297",-2,-1.3,"strike","left","changeup",-0.7825388097236
"298",-2,-1.3,"strike","left","curveball",-0.936942590358819
"299",-2,-1.3,"strike","left","fastball",-3.68094922975772
"300",-2,-1.3,"strike","left","slider",0.364089068546342
"301",-2,-1.3,"strike","right","changeup",-0.236726201915622
"302",-2,-1.3,"strike","right","curveball",-0.199100997067999
"303",-2,-1.3,"strike","right","fastball",-2.46272513324682
"304",-2,-1.3,"strike","right","slider",0.371193401204158
"305",-2,-1.3,"whiff","left","changeup",-0.535911863993406
"306",-2,-1.3,"whiff","left","curveball",1.09500788667882
"307",-2,-1.3,"whiff","left","fastball",-5.73746254811569
"308",-2,-1.3,"whiff","left","slider",2.4020519227917
"309",-2,-1.3,"whiff","right","changeup",-0.676835161068472
"310",-2,-1.3,"whiff","right","curveball",1.16151997236556
"311",-2,-1.3,"whiff","right","fastball",-4.34450018631728
"312",-2,-1.3,"whiff","right","slider",1.56774440457241
"313",-2,-1.2,"barrel","left","changeup",-8.59819056522954
"314",-2,-1.2,"barrel","left","curveball",-7.78268918606513
"315",-2,-1.2,"barrel","left","fastball",-4.89491403218225
"316",-2,-1.2,"barrel","left","slider",-5.82034489378179
"317",-2,-1.2,"barrel","right","changeup",-10.3413615720665
"318",-2,-1.2,"barrel","right","curveball",-11.6364098474584
"319",-2,-1.2,"barrel","right","fastball",-5.99765825700123
"320",-2,-1.2,"barrel","right","slider",-8.74522554228988
"321",-2,-1.2,"strike","left","changeup",-0.663823942233374
"322",-2,-1.2,"strike","left","curveball",-0.839278038152271
"323",-2,-1.2,"strike","left","fastball",-3.37226911925023
"324",-2,-1.2,"strike","left","slider",0.437861122922687
"325",-2,-1.2,"strike","right","changeup",-0.0892834812792573
"326",-2,-1.2,"strike","right","curveball",-0.112923160338294
"327",-2,-1.2,"strike","right","fastball",-2.14667955083128
"328",-2,-1.2,"strike","right","slider",0.429313314205075
"329",-2,-1.2,"whiff","left","changeup",-0.479314619370808
"330",-2,-1.2,"whiff","left","curveball",1.15740505713642
"331",-2,-1.2,"whiff","left","fastball",-5.41781871071201
"332",-2,-1.2,"whiff","left","slider",2.45075133700095
"333",-2,-1.2,"whiff","right","changeup",-0.578510928972266
"334",-2,-1.2,"whiff","right","curveball",1.20276396127116
"335",-2,-1.2,"whiff","right","fastball",-4.05027271537644
"336",-2,-1.2,"whiff","right","slider",1.57953806687615
"337",-2,-1.1,"barrel","left","changeup",-8.25295492644677
"338",-2,-1.1,"barrel","left","curveball",-7.4851350666123
"339",-2,-1.1,"barrel","left","fastball",-4.63910295551266
"340",-2,-1.1,"barrel","left","slider",-5.48526550261798
"341",-2,-1.1,"barrel","right","changeup",-10.051435976578
"342",-2,-1.1,"barrel","right","curveball",-11.0667384783246
"343",-2,-1.1,"barrel","right","fastball",-5.72490377062774
"344",-2,-1.1,"barrel","right","slider",-8.29496960623931
"345",-2,-1.1,"strike","left","changeup",-0.558912320107739
"346",-2,-1.1,"strike","left","curveball",-0.752919797684429
"347",-2,-1.1,"strike","left","fastball",-3.09053537046361
"348",-2,-1.1,"strike","left","slider",0.503493345491178
"349",-2,-1.1,"strike","right","changeup",0.0431354709648462
"350",-2,-1.1,"strike","right","curveball",-0.0355317551066077
"351",-2,-1.1,"strike","right","fastball",-1.85761979356616
"352",-2,-1.1,"strike","right","slider",0.47916106462899
"353",-2,-1.1,"whiff","left","changeup",-0.438597649157634
"354",-2,-1.1,"whiff","left","curveball",1.20059950823434
"355",-2,-1.1,"whiff","left","fastball",-5.1159521314051
"356",-2,-1.1,"whiff","left","slider",2.48980874208639
"357",-2,-1.1,"whiff","right","changeup",-0.503057650872225
"358",-2,-1.1,"whiff","right","curveball",1.23503585947916
"359",-2,-1.1,"whiff","right","fastball",-3.7715068422992
"360",-2,-1.1,"whiff","right","slider",1.5845699343306
"361",-2,-1,"barrel","left","changeup",-7.93773977799294
"362",-2,-1,"barrel","left","curveball",-7.22294432031973
"363",-2,-1,"barrel","left","fastball",-4.40553632029259
"364",-2,-1,"barrel","left","slider",-5.18730745658925
"365",-2,-1,"barrel","right","changeup",-9.78672130243626
"366",-2,-1,"barrel","right","curveball",-10.5497520424419
"367",-2,-1,"barrel","right","fastball",-5.47292912818566
"368",-2,-1,"barrel","right","slider",-7.88487421763099
"369",-2,-1,"strike","left","changeup",-0.467310909169287
"370",-2,-1,"strike","left","curveball",-0.677523773483957
"371",-2,-1,"strike","left","fastball",-2.83494601734128
"372",-2,-1,"strike","left","slider",0.561420119156985
"373",-2,-1,"strike","right","changeup",0.161157240208064
"374",-2,-1,"strike","right","curveball",0.033440473559859
