"","Name","pitch_type","p_throws","hitter","Pitches","Speed","Spin Rate","X Movement","Z Movement","Whiff Prop","Strike Prop","Barrel Prop"
"230","Noah Syndergaard","CU","R","R",166,78.2969879518072,2112.78313253012,0.813734939759036,0.0178915662650602,0.150602409638554,0.379518072289157,0.0180722891566265
"231","Noah Syndergaard","FF","R","L",206,94.0242718446602,2134.99029126214,-0.485533980582524,1.19606796116505,0.0679611650485437,0.266990291262136,0.0194174757281553
"232","Noah Syndergaard","SI","R","L",156,93.4134615384615,2126.94871794872,-1.16608974358974,0.858589743589744,0.0320512820512821,0.25,0.0192307692307692
"233","Noah Syndergaard","SI","R","R",494,93.651012145749,2123.7995951417,-1.17953441295547,0.88668016194332,0.0526315789473684,0.255060728744939,0.0161943319838057
"234","Noah Syndergaard","SL","R","R",259,85.2660231660232,2153.97683397683,0.468069498069498,0.100694980694981,0.0965250965250965,0.281853281853282,0.0115830115830116
"235","Jameson Taillon","CH","R","L",227,87.7845814977974,1844.52654867257,-1.17400881057269,0.899030837004405,0.079295154185022,0.180616740088106,0.026431718061674
"236","Jameson Taillon","CU","R","L",226,81.1353982300885,2734.40707964602,0.771592920353982,-0.836017699115044,0.0973451327433629,0.331858407079646,0.00884955752212388
"237","Jameson Taillon","CU","R","R",188,81.1047872340425,2732.83510638298,0.757074468085106,-0.852074468085106,0.111702127659574,0.345744680851064,0
"238","Jameson Taillon","FC","R","L",175,90.9977142857143,2518.51428571429,0.188971428571429,1.09537142857143,0.114285714285714,0.211428571428571,0.0171428571428572
"239","Jameson Taillon","FC","R","R",142,90.3274647887324,2545.4014084507,0.289507042253521,0.985070422535211,0.0845070422535212,0.274647887323944,0.0140845070422535
"240","Jameson Taillon","FF","R","L",582,94.0494845360825,2369.36254295533,-0.494828178694158,1.46123711340206,0.0824742268041239,0.27319587628866,0.0171821305841924
"241","Jameson Taillon","FF","R","R",414,94.1227053140097,2370.03140096618,-0.454855072463768,1.50246376811594,0.0942028985507247,0.323671497584541,0.0265700483091788
"242","Jameson Taillon","SI","R","R",300,94.17,2295.55666666667,-1.14086666666667,1.2167,0.0533333333333334,0.21,0.01
"243","Jameson Taillon","SL","R","R",429,86.1892773892774,2563.69230769231,0.525477855477856,0.333589743589744,0.13053613053613,0.293706293706294,0.0163170163170163
"244","Taijuan Walker","CU","R","L",141,75.109219858156,2216.82978723404,0.603758865248227,-0.946666666666667,0.0921985815602837,0.397163120567376,0.00709219858156028
"245","Taijuan Walker","FC","R","L",127,88.8157480314961,2311.48031496063,0.139291338582677,1.04425196850394,0.031496062992126,0.15748031496063,0.015748031496063
"246","Taijuan Walker","FF","R","L",284,93.4528169014085,2133.18661971831,-0.871901408450704,1.43904929577465,0.105633802816901,0.285211267605634,0.0105633802816902
"247","Taijuan Walker","FF","R","R",460,93.8645652173913,2157.12608695652,-0.822847826086957,1.45191304347826,0.0652173913043479,0.354347826086957,0.0239130434782609
"248","Taijuan Walker","FS","R","L",295,88.5674576271186,1444.26440677966,-0.885016949152542,0.141966101694915,0.125423728813559,0.271186440677966,0.0169491525423729
"249","Taijuan Walker","FS","R","R",394,88.9005076142132,1448.28244274809,-0.910380710659898,0.196040609137056,0.15989847715736,0.236040609137056,0.0152284263959391
"250","Taijuan Walker","SI","R","R",182,92.9637362637363,2027.87362637363,-1.27681318681319,1.08851648351648,0.0384615384615385,0.247252747252747,0.0054945054945055
